post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,address,lat,lon,title,descr,details
pre2013_78677,20080413,2008,santa clara,santa clara,santa clara,1500,2,,,0,,,,$1500 / 2br - town home for rent -,,
pre2013_1687,20060718,2006,san leandro,san leandro,alameda,1260,2,,,0,,,,"$1260 / 2br - Large 2 bd. lots of closet space, & studio or 1bd. @ Lakeside Village",,
pre2013_94763,20040905,2004,presidio hts / laurel hts / lake st,san francisco,san francisco,1150,0,,,0,,,,"$1150  - 396572 Pay all but electricity. Lg studio, lots of light facing west.",,
pre2013_59285,20120318,2012,lafayette / orinda / moraga,orinda,contra costa,1350,2,,900.0,0,,,,$1350 / 2br - 900ft² - 2 bd/1ba. Upper End Unit Located in 4-plex. Walk to Downtown!,,
pre2013_148616,20060227,2006,belmont / san carlos,belmont,san mateo,1425,2,2.0,,0,,,,$1425 / 2br - 2 br/ 2 ba   2211  HASTINGS DRIVE  CARLMONT HEIGHTS APARTMENTS,,
6627354635,20180626,2018,san leandro,san leandro,alameda,2095,2,1.0,,0,,,,1ba Beautifully Remodeled Apartment,,
pre2013_143688,20050522,2005,marina / cow hollow,san francisco,san francisco,2250,2,,,0,,,,"$2250 / 2br - Free Mo.! 2Br/1Ba, views & killer kitchen! << Photos >>   415-608-3050 ",,
pre2013_68878,20120601,2012,santa rosa,santa rosa,sonoma,995,2,,,0,,,,$995 / 2br - Very Nice Two Bedroom Apartment,,
pre2013_63645,20120330,2012,morgan hill,morgan hill,santa clara,2600,4,,1752.0,0,,,,$2600 / 4br - 1752ft² - charming ranch house in great location,,
pre2013_44318,20111220,2011,nob hill,san francisco,san francisco,910,1,,,0,,,,"$910 / 1br - Extremely Big one bedroom apartment---utilties included in rent,garage",,
pre2013_160304,20060207,2006,santa clara,santa clara,santa clara,1495,2,2.0,,0,,,,$1495 / 2br - GORGEOUS 2 BR/2BA CONDO,,
pre2013_70517,20120630,2012,san jose west,san jose,santa clara,2100,2,,1036.0,0,,,,$2100 / 2br - 1036ft² - Darling Cottage Style House 4 Rent-Pristine Updating Just Completed!,,
5088593362,20150623,2015,SOMA / south beach,san francisco,san francisco,4500,1,1.5,1160.0,0,1076,37.7621,-122.3971,Phenomenal 1BD/1.5BA loft w/parking included,"A place above the clouds is within your reach..................► $4,500/month (Lease terms negotiable)► 1 Bed/1.5 Bath loft► 1,160 ft² ► Security Deposit► Parking : Included with rent► Utilities : Water and Garbage included► Security and Concierge service provided► Hardwood floors► Stainless Steel Appliances► In-unit washer/dryer► Pets : NoneOpen House : TBALocation: 77 Dow Place (unit # 1310)Considered one of the greatest masterpieces by Kotas / Pantaleoni Architects, San Francisco has been graced with yet another iconic high-rise condominium, ""Hawthorne Place""The next generation of industrial/modern architecture provides an ample living space from top to bottom. Luscious hickory hardwood floors provides depth and a unique contrast to stainless steel appliances. A plentiful amount of storage throughout, seldom found in lofts, adds functionality without sacrificing style or appearance. Ascending up to the second floor, we are a welcomed by a vast and open concept living room that can easily serve as a personal office or a second bedroom. The main bedroom boasts generous closet space with a built-in washer and dryer.Be taken back by unobstructed views of the San Francisco Landscape. Sutro Tower, Twin Peaks, Bernal Heights, and the rest of the bay area panorama that will add to your new and robust lifestyle.Be at the epicenter of action and excitement. AT&T; Park, The Embarcadero, The Bay Bridge, Pier 39 are all with in your reach and just minutes away.Savor all the fine dining within walking distance such as TRES, PUBLIC HOUSE, and PARAGON RESTAURANT and BAR. Being so close to major highways, leaving the city has never been so easy. Weekend warriors, what are you waiting for?Hawthorne Place, Only a click away...........*Tenants to pay a 1-time Broker's Fee.Everest Mwamba - BrokerBRE 01717299everest @ everestmwamba . comOffice ~  show contact info","1BR / 1.5Ba 1160ft2  date=""2016-06-14"" today_msg=""available now"">available jun 14</p>"
pre2013_157913,20060415,2006,pittsburg / antioch,pittsburg,contra costa,2100,4,2.5,,0,,,,$2100 / 4br - 2 1/2 BATH FANTASTIC HOUSE AVAILABLE NOW!,,
pre2013_157773,20060412,2006,campbell,campbell,santa clara,1350,2,,1200.0,0,,,,$1350 / 2br - Large 1200 sq. ft. Apartment in Quiet Neighborhood,,
pre2013_17998,20120209,2012,presidio hts / laurel hts / lake st,san francisco,san francisco,4250,2,2.0,1500.0,0,,,,$4250 / 1500ft² - 2 bedroom 2bath open space.  lots of natural light with a bonus room!,,
pre2013_9905,20110104,2011,santa rosa,santa rosa,sonoma,1735,2,,,0,,,,$1735 / 2br - Best Spot in Town! ,,
pre2013_128003,20041025,2004,san bruno,san bruno,san mateo,850,0,,,0,,,,$850  - Studio ,,
pre2013_112912,20040603,2004,sunnyvale,sunnyvale,santa clara,1179,2,2.0,,0,,,,$1179 / 2br - GROUND FLOOR 2 BEDROOM 2 BATH W/ PATIO AND STORAGE!!!,,
pre2013_41055,20111209,2011,san rafael,san rafael,marin,1466,0,1.0,488.0,0,,,,"$1466 / 488ft² - Loft living Studio BR, 1 BA apartment",,
pre2013_148380,20060203,2006,foster city,foster city,san mateo,1900,2,,,0,,,,$1900 / 2br - 1425 Marlin Avenue,,
5289991148,20151029,2015,felton,felton,santa cruz,2950,3,,,0,,,,***** Felton 3Bdrms+Large Bonus Room Ready For Rent!! *****,,
pre2013_100104,20041112,2004,lower pac hts,san francisco,san francisco,2199,2,2.0,,0,,,,$2199 / 2br - Bright Top Floor 2 BR/2 Bath with Cozy Fireplace-No rent Till Dec. 1st,,
pre2013_37871,20111122,2011,geyserville,geyserville,sonoma,2250,3,,800.0,0,,,,$2250 / 3br - 800ft² - Large Mobile Home on 4.62 ac. with Views of Alexander Valley,,
pre2013_55429,20120228,2012,san jose north,san jose,santa clara,900,2,,,0,,,,$900 / 2br - 2 bedroom comes with the  new carpe,,
pre2013_35122,20111116,2011,santa clara,santa clara,santa clara,1950,2,2.0,1158.0,0,,,,$1950 / 2br - 1158ft² - 2 BR 2 BA  No Place Like Laguna Clara ! Come To How Home Should Feel!,,
pre2013_13613,20120110,2012,richmond / point / annex,richmond,contra costa,1650,2,,1200.0,0,,,,$1650 / 2br - 1200ft² - Beautiful t/house in quiet area of Hilltop.,,
pre2013_18289,20120211,2012,santa clara,santa clara,santa clara,1899,2,,900.0,0,,,,"$1899 / 2br - 900ft² - Stroll The Roads of El Camino Real, its Everything you need and More.",,
3844874089,20130602,2013,CCSF,san francisco,san francisco,2995,3,2.0,1750.0,0,,37.725787,,    $2995 / 3br - 1750ft² - 3 bedroom and 2 bath top floor flat     $2995 / 3br - 1750ft² -    (ingleside / SFSU / CCSF)   pic map   ,,"<p class=""row"" data-latitude=""37.725787"" data-longitude=""-122.460887"" data-pid=""3844874089""> <a class=""i"" data-id=""3G63I13J45Le5E65Kfd6202855e5870921329.jpg"" href=""/web/20130602190424/http://sfbay.craigslist.org/sfc/apa/3844874089.html""></a> ""pl""> ""star""> <a href=""/web/20130602190424/http://sfbay.craigslist.org/sfc/apa/3844874089.html"">$2995 / 3br - 1750ft² - 3 bedroom and 2 bath top floor flat </a>  ""l2""> ""pnr""> ""price"">$2995 / 3br - 1750ft² -  ""pp""> <small> (ingleside / SFSU / CCSF)</small> ""px""> ""p""> pic <a class=""maptag"" data-pid=""3844874089"" href=""#"">map</a>   </p>"
pre2013_144509,20050606,2005,mountain view,mountain view,santa clara,1600,3,1.0,,0,,,,$1600  - Amazing 3 br/1 ba Single House in Wonderful Mountain View Location ,,
pre2013_145835,20060225,2006,parkside,san francisco,san francisco,1495,2,1.0,,0,,,,"$1495 / 2br - Remodeled 2 Bedroom, 1 Bath",,
pre2013_99044,20041101,2004,alamo square,san francisco,san francisco,1199,1,,,0,,,,$1199 / 1br - Charming one bedroom condo in lovely Victorian  PHOTOS,,
pre2013_27446,20071025,2007,pittsburg / antioch,pittsburg,contra costa,1450,3,,,0,,,,$1450 / 3br - Centrally located home spacious and move in ready.,,
4442125532,20140427,2014,santa cruz,santa cruz,santa cruz,1600,2,,,0,,,,Summer sublet ,,
6552973231,20180412,2018,berkeley,berkeley,alameda,2495,2,,,0,,,,2br/2ba. 1915 Haste St.Close to downtown Berkeley Open H.4/7/18- 2p-3p,,
5797645277,20160925,2016,larkspur,larkspur,marin,3645,2,,1095.0,0,,,,"favorite this post

 9월 24
BE AFRAID, BE VERY AFRAID OF OUR GHOULISH LEASING SPECIALS!!!!


$3645

                2br -
                1095ft2 -
            

 (larkspur)

 사진
                            지도







hide this posting



restore this posting",,
pre2013_61349,20120323,2012,alameda,alameda,alameda,1075,1,,,0,,,,$1075 / 1br - Apartments for Rent in Alameda,,
pre2013_41760,20111211,2011,mountain view,mountain view,santa clara,2135,2,,,0,,,,"$2135 / 2br - Spacious, Open Concept!  Come see this 2x1 BR now.",,
pre2013_76727,20100430,2010,sunnyvale,sunnyvale,santa clara,1125,1,1.0,,0,,,,$1125 / 1br - 1 BR Downstairs Unit with Great Kitchen and Bath in Cherry Chase,,
pre2013_149311,20060409,2006,burlingame / hillsborough,burlingame,san mateo,1695,2,1.0,,0,,,,$1695 / 2br - 2Bd/1Ba Airy Pet Friendly Burlingame Apt.,,
pre2013_64257,20120331,2012,redwood city,redwood city,san mateo,2035,,,773.0,0,,,,$2035 / 773ft² - Great Prices Come In Great Communities! Income Limits Apply Call Now! ,,
pre2013_48502,20120106,2012,belmont / san carlos,belmont,san mateo,4600,5,,2370.0,0,,,,$4600 / 5br - 2370ft² - Large Cape Cod style Home in great San Carlos location!,,
pre2013_58230,20120314,2012,napa county,napa county,napa,1450,2,,900.0,0,,,,$1450 / 2br - 900ft² - St. Helena farm house,,
5330472920,20151127,2015,san mateo,san mateo,san mateo,1400,4,,2650.0,0,,,,,,
pre2013_53728,20120211,2012,san jose south,san jose,santa clara,1495,2,,862.0,0,,,,"$1495 / 2br - 862ft² - UPSTAIRS, W/D HOOKUP, END UNIT, AVAILABLE NOW!",,
4825398105,20150106,2015,sunnyvale,sunnyvale,santa clara,1695,0,,500.0,0,1311,37.37674,-122.0559,Spacious studio in a great location! Close to shopping &amp; transit!,"415 S. Bernardo Ave, Sunnyvale Studio $1,695 /month   Link to Full Website: http://vrent.com/detail.php?id=2113  Contact Info: show contact infoshow contact info De Anna, Resident Manager  HIGHLIGHTS  Newly RemodeledGranite CountertopsWalk-In ClosetKitchen PantryOn-Site LaundryPoolControlled AccessNear Google Shuttle UNIT INFORMATION    Size: 500 sf   Utilities Included: Water, Garbage   Deposit: $500      Availability: Now   This is a no smoking, no pets property  DESCRIPTION  Live in the Heart of the Bay!Incredible mountain views and sunsets!The Cathay Lotus apartment community is conveniently located near Highways 85, 101, 280 & 237. Walk to public transportation, shopping centers, and great restaurants. The beautiful grounds feature two swimming pools, mature trees, and lush landscaping.This spacious studio apartment home features an updated kitchen with granite counters, tiled back splash, and newer appliances. You will find tons of closet space throughout including a giant walk-in closet that is sure to impress! The large living area has newer carpeting and select units have a private patio or balcony. The controlled access building features laundry rooms with all new machines on each floor, assigned parking, and elevator service. Storage rooms are available at an additional monthly rate.Showing Tuesday - SaturdayVisit the Manager's Office today!   Contact Info: show contact infoshow contact info De Anna, Resident Manager  Unit ID: #2113 Equal Housing Opportunity  FIND MORE RENTAL LISTINGS AT VRENT.COM","0BR / 1Ba 500ft2 apartment  date=""2015-12-30"" today_msg=""available now"">available dec 30<br/>laundry in bldg off-street parking<br/>no smoking</p>"
pre2013_96338,20040922,2004,noe valley,san francisco,san francisco,1500,1,,,0,,,,"$1500 / 1br - Nice and Bright, hardwood floors, parking space",,
4270037703,20140103,2014,sunnyvale,sunnyvale,santa clara,4000,3,,1675.0,0,1488,37.3886,-122.0177,Brand new single family house in ideal Sunnyvale location,,
pre2013_94922,20040906,2004,mission district,san francisco,san francisco,1425,1,1.0,,0,,,,"$1425 / 1br - Mission 1 BR  Remodeled Kitchen & Bath,PHOTOS  *OPEN:9/12",,
pre2013_8019,20100731,2010,oakland east,oakland,alameda,750,0,,,0,,,,$750 Coming Soon! Studio-1/2 Off Special with 1 year lease/Unit off Park Bl,,
pre2013_17171,20120201,2012,saratoga,saratoga,santa clara,2800,3,,1500.0,0,,,,$2800 / 3br - 1500ft² - BEAUTIFUL SERENE EXECUTIVE LIVING NEAR VILLAGE,,
pre2013_45731,20111223,2011,mountain view,mountain view,santa clara,1700,1,1.0,756.0,0,,,,$1700 / 1br - 756ft² - 1 BR / 1BA Condo for Rent / Gated Property,,
5077413296,20150616,2015,nob hill,san francisco,san francisco,2672,,,450.0,0,,,,Walk to City Target!,,
pre2013_43555,20111217,2011,SOMA / south beach,san francisco,san francisco,4000,2,2.0,1140.0,0,,,,$4000 / 2br - 1140ft² - The Beacon: Modern 2 Bdrm 2 Bath ,,
pre2013_106166,20040718,2004,belmont / san carlos,belmont,san mateo,1050,1,1.0,,0,,,,$1050 / 1br - 1 ba apartment in a quiet 4 unit building in the San Carlos hills,,
5674019534,20160709,2016,union city,union city,alameda,2323,1,,747.0,0,,,,7월 8 Top floor 747 sq ft Haydn floor plan with natural light and privacy   $2323 / 1br - 747ft2 -    (fremont / union city / newark)   사진 지도    hide this posting  restore this posting,,
4806976399,20141222,2014,san bruno,san bruno,san mateo,2600,2,2.0,,0,,,,2 Bd / 2 baths Condo @ Peninsula Place,,
pre2013_65438,20120413,2012,mountain view,mountain view,santa clara,1946,1,,740.0,0,,,,$1946 / 1br - 740ft² - Your 4 Legged Friend is Welcome Here! THE AMERICANA APARTMENTS ,,
5043435226,20150526,2015,santa clara,santa clara,santa clara,2599,1,,837.0,0,,,,"Large walk in closet, bay windows in kitchen &amp; W/D * walk to rivermark",,
pre2013_156483,20060217,2006,fairfield / vacaville,fairfield,solano,2000,5,,,0,,,,"$2000 / 5br - HOUSE FOR RENT, 5BD, 3BR, 3CAR, NEAR COSTCO",,
pre2013_6469,20090214,2009,santa rosa,santa rosa,sonoma,1215,1,,,0,,,,$1215 / 1br - Come in today and rent you new home! -,,
pre2013_43026,20111215,2011,redwood city,redwood city,san mateo,2925,2,,1090.0,0,,,,$2925 / 2br - 1090ft² - Cozy Comfy Corner Apt with Parking and Private Patio $500 off now!,,
pre2013_146488,20060412,2006,glen park,san francisco,san francisco,1400,1,,,0,,,,$1400 / 1br - Charming 1 bedroom,,
pre2013_102922,20041217,2004,parkside,san francisco,san francisco,1875,3,,,0,,,,$1875 / 3br - Lovely Sunset Home @ Irving for Rent (Prime Location in Sunset),,
5853222261,20161103,2016,potrero hill,san francisco,san francisco,5000,2,2.0,1500.0,0,,,,2BR2BA Huge Flat overlooks McKinley Park,,
pre2013_142282,20050423,2005,bayview,san francisco,san francisco,1800,3,,,0,,,,$1800 / 3br - 38 Williams- clean & remodeled ,,
pre2013_26007,20070910,2007,castro,san francisco,san francisco,2200,0,,,0,,,,$2200  Studio in an Awesome Location!,,
pre2013_136996,20050211,2005,pacific heights,san francisco,san francisco,1200,0,,,0,,,,"$1200  - Large, Quiet Studio 1 1/2 Blocks Off Trendy FillmoreSt. ",,
pre2013_27313,20071018,2007,san jose north,san jose,santa clara,1250,2,,,0,,,,$1250 / 2br - Fantastic and in GREAT Area!,,
pre2013_9855,20110104,2011,palo alto,palo alto,santa clara,1400,2,1.0,,0,,,,$1400 / 2br - 1ba South Palo Alto Apartment / New Year Special!,,
5171275612,20150813,2015,santa clara,santa clara,santa clara,2331,1,,823.0,0,,,,Largest One BEDROOM with 823 Square feet- Enjoy Lap of Luxury !,,
pre2013_52225,20120125,2012,santa clara,santa clara,santa clara,2016,1,1.0,871.0,0,,,,$2016 / 1br - 871ft² - Spacious 1 BR 1 BA Apartment With Full Size Washer & Dryer,,
pre2013_125668,20040918,2004,hayward / castro valley,hayward,alameda,2300,3,,,0,,,,"$2300 / 3br - 2ba, 2 Car Garage, 2 Story House, View, Photos ",,
pre2013_28253,20080506,2008,saratoga,saratoga,santa clara,3200,4,,,0,,,,"$3200 / 4br - Spacious, Four Bedroom, Lynbrook High Dogs OK -",,
pre2013_53079,20120207,2012,sea cliff,san francisco,san francisco,2490,2,,,0,,,,"$2490 / 2br - Lots of detail, light, quiet,parking, utilities, nr trans/shop avail  ",,
pre2013_148988,20060405,2006,san francisco,san francisco,san francisco,1450,2,,,0,,,,$1450 / 2br - CONDO IN WESTBOROUGH AREA OF SSF,,
pre2013_2317,20100721,2010,daly city,daly city,san mateo,1195,1,,,0,,,,$1195 / 1br - ***Furnished-Newly remodel-Inclu Utilities***PHOTO,,
pre2013_53900,20120211,2012,redwood city,redwood city,san mateo,1796,,,411.0,0,,,,$1796 / 411ft² - Washer/ Dryer - Vaulted Ceilings - Flexible Pricing!,,
pre2013_93942,20040827,2004,sea cliff,san francisco,san francisco,1395,2,,,0,,,,"$1395 / 2br - Clement St.,by 15th Ave. Close to  park and shops",,
pre2013_109832,20041020,2004,san francisco,san francisco,san francisco,800,1,,,0,,,,$800 / 1br - in-law now avalible,,
5354847378,20151211,2015,san mateo,san mateo,san mateo,3540,3,,1094.0,0,,,,,,
pre2013_36980,20111120,2011,redwood city,redwood city,san mateo,2350,2,1.0,1050.0,0,,,,$2350 / 2br - 1050ft² - 2 Bedroom 1 Bath Recently Updated Duplex with Yard,,
pre2013_38601,20111124,2011,marin,marin,marin,1650,0,,1010.0,0,,,,"$1650 / 1010ft² - Studio, Point Reyes Station",,
pre2013_146649,20060415,2006,outer sunset,san francisco,san francisco,1700,2,,,0,,,,$1700 / 2br - 2 bed room home with large living room,,
pre2013_139862,20050316,2005,nob hill,san francisco,san francisco,1575,1,,,0,,,,"$1575 / 1br - ""Top of the World"" apartment ",,
pre2013_34907,20111115,2011,downtown,san francisco,san francisco,2895,2,2.0,,0,,,,$2895 / 2br - LARGE & BRIGHT 2BR/2BA IN DOWNTOWN TIBURON/SF BAY VIEWS,,
pre2013_125907,20040922,2004,willow glen / cambrian,cambrian,santa clara,1390,2.0,2.0,,0,,,,"$1390 / 2br - 2ba Condo ""Must See"" ",,
pre2013_71589,20120714,2012,redwood city,redwood city,san mateo,3100,2,,1185.0,0,,,,$3100 / 2br - 1185ft² - Beautiful Townhome Available!,,
pre2013_83377,20060822,2006,redwood city,redwood city,san mateo,1750,2,,,0,,,,$1750 / 2br - House,,
4262919102,20131229,2013,redwood city,redwood city,san mateo,3450,2,,1083.0,0,,37.4815,,    Dec 28 Motivated to Rent Now!   $3450 / 2br - 1083ft² -    (redwood city)   map   ,,"<p class=""row"" data-latitude=""37.481500"" data-longitude=""-122.209100"" data-pid=""4262919102""> <a class=""i"" href=""/web/20131229024738/http://sfbay.craigslist.org/pen/apa/4262919102.html""></a> ""star""> ""pl""> ""date"">Dec 28 <a href=""/web/20131229024738/http://sfbay.craigslist.org/pen/apa/4262919102.html"">Motivated to Rent Now!</a>  ""l2""> ""price"">$3450 / 2br - 1083ft² -  ""pnr""> <small> (redwood city)</small> ""px""> ""p""> <a class=""maptag"" data-pid=""4262919102"" href=""#"">map</a>   </p>"
5673995903,20160709,2016,alameda,alameda,alameda,2395,2,,950.0,0,,,,"7월 8 Wonderful Apartment Home, Top Floor unit, Close to Schools & Shopping!   $2395 / 2br - 950ft2 -    (alameda)   사진 지도    hide this posting  restore this posting",,
pre2013_112192,20041217,2004,menlo park,menlo park,san mateo,1350,2,1.0,,0,,,,$1350 / 2br - large 2 bedroom 1 bath apartment upstairs west menlo,,
3869871032,20130618,2013,vallejo / benicia,vallejo,solano,850,2,,650.0,0,,38.13004,,    Cute spot    $850 / 2br - 650ft² -    (vallejo / benicia)   pic map   ,,"<p class=""row"" data-latitude=""38.130039"" data-longitude=""-122.227978"" data-pid=""3869871032""> <a class=""i"" data-id=""3rb3Na3qf5Kd5q55tfd6da839e847fffc13be.jpg"" href=""/web/20130618172939/http://sfbay.craigslist.org/eby/apa/3869871032.html""></a> ""pl""> ""star""> <a href=""/web/20130618172939/http://sfbay.craigslist.org/eby/apa/3869871032.html"">Cute spot</a>  ""l2""> ""pnr""> ""price"">$850 / 2br - 650ft² -  ""pp""> <small> (vallejo / benicia)</small> ""px""> ""p""> pic <a class=""maptag"" data-pid=""3869871032"" href=""#"">map</a>   </p>"
5291526382,20151106,2015,corralitos,corralitos,santa cruz,2500,2,,,0,,,,Stunning Seascape Townhouse,,
5279226110,20151022,2015,santa cruz,santa cruz,santa cruz,2100,,,,0,,,,House located near the boardwalk,,
5784897372,20160917,2016,santa cruz,santa cruz,santa cruz,3458,2,2.0,1035.0,0,,,,"favorite this post

 9월 16
Luxurious 2bd 2ba in a Park-Like Setting with W/D in unit, Ready Now!


$3458

                2br -
                1035ft2 -
            

 (santa cruz)

 사진
                            지도







hide this posting



restore this posting",,
pre2013_155467,20120714,2012,pacific heights,san francisco,san francisco,16500,7,,,0,,,,"$16500 / 7br - Prime, Outst 7bd, 6bth Vict single family hs, cmpl rmdld, frn/un, 3car",,
pre2013_32482,20111102,2011,mountain view,mountain view,santa clara,2395,2,,910.0,0,,,,$2395 / 2br - 910ft² - Gated Community/Mtn.View Border/GE Apps/2 Pools/Spa/Fitness/Free WiFi,,
pre2013_38200,20111123,2011,san francisco,san francisco,san francisco,2050,3,,1520.0,0,,,,$2050 / 3br - 1520ft² - NEWMAN_DR_SOUTH_SAN_FRANCISCO_94080,,
pre2013_96590,20040924,2004,sea cliff,san francisco,san francisco,1250,0,,,0,,,,$1250  - 2 Room Garden Studio (photos),,
pre2013_80519,20070903,2007,lower pac hts,san francisco,san francisco,6000,3,3.5,,0,,,,$6000 / 3br - 3.5 Baths. New Construction/New Everything. Top Floor Two Level PH,,
